api.AudioContext.resume	1	1	1
api.AudioContext.setSinkId	1	0	0
api.AudioContext.sinkId	1	0	0
api.AudioContext.sinkchange_event	1	0	0
api.AudioContext.suspend	1	1	1
api.AudioData.AudioData	1	1	1
api.AudioData	1	1	1
api.AudioData.allocationSize	1	1	1
api.AudioData.clone	1	1	1
api.AudioData.close	1	1	1
api.AudioData.copyTo	1	1	1
api.AudioData.duration	1	1	1
api.AudioData.format	1	1	1
api.AudioData.numberOfChannels	1	1	1
api.AudioData.numberOfFrames	1	1	1
api.AudioData.sampleRate	1	1	1
api.AudioData.timestamp	1	1	1
api.AudioDecoder.AudioDecoder	1	1	1
api.AudioDecoder	1	1	1
api.AudioDecoder.close	1	1	1
api.AudioDecoder.configure	1	1	1
api.AudioDecoder.decode	1	1	1
api.AudioDecoder.decodeQueueSize	1	1	1
api.AudioDecoder.dequeue_event	1	1	1
api.AudioDecoder.flush	1	1	1
api.AudioDecoder.isConfigSupported_static	1	1	1
api.AudioDecoder.reset	1	1	1
api.AudioDecoder.state	1	1	1
api.AudioDestinationNode	1	1	1
api.AudioDestinationNode.maxChannelCount	1	1	1
api.AudioEncoder.AudioEncoder	1	1	1
api.AudioEncoder	1	1	1
api.AudioEncoder.close	1	1	1
api.AudioEncoder.configure	1	1	1
api.AudioEncoder.configure.bitrateMode	1	1	1
api.AudioEncoder.configure.opus	1	1	1
api.AudioEncoder.configure.opus.opus_application	1	0	0
api.AudioEncoder.configure.opus.opus_signal	1	0	0
api.AudioEncoder.dequeue_event	1	1	1
api.AudioEncoder.encode	1	1	1
api.AudioEncoder.encodeQueueSize	1	1	1
api.AudioEncoder.flush	1	1	1
api.AudioEncoder.isConfigSupported_static	1	1	1
api.AudioEncoder.reset	1	1	1
api.AudioEncoder.state	1	1	1
api.AudioListener	1	1	1
api.AudioListener.forwardX	1	0	1
api.AudioListener.forwardY	1	0	1
api.AudioListener.forwardZ	1	0	1
api.AudioListener.positionX	1	0	1
api.AudioListener.positionY	1	0	1
api.AudioListener.positionZ	1	0	1
api.AudioListener.setOrientation	1	1	1
api.AudioListener.setPosition	1	1	1
api.AudioListener.upX	1	0	1
api.AudioListener.upY	1	0	1
api.AudioListener.upZ	1	0	1
api.AudioNode	1	1	1
api.AudioNode.channelCount	1	1	1
api.AudioNode.channelCountMode	1	1	1
api.AudioNode.channelInterpretation	1	1	1
api.AudioNode.connect	1	1	1
api.AudioNode.context	1	1	1
api.AudioNode.disconnect	1	1	1
api.AudioNode.disconnect.destination_parameter	1	0	0
api.AudioNode.disconnect.input_parameter	1	0	0
api.AudioNode.numberOfInputs	1	1	1
api.AudioNode.numberOfOutputs	1	1	1
api.AudioParam	1	1	1
api.AudioParam.automationRate	1	0	1
api.AudioParam.cancelAndHoldAtTime	1	0	1
api.AudioParam.cancelScheduledValues	1	1	1
api.AudioParam.defaultValue	1	1	1
api.AudioParam.exponentialRampToValueAtTime	1	1	1
api.AudioParam.linearRampToValueAtTime	1	1	1
api.AudioParam.maxValue	1	1	1
api.AudioParam.minValue	1	1	1
api.AudioParam.setTargetAtTime	1	1	1
api.AudioParam.setValueAtTime	1	1	1
api.AudioParam.setValueCurveAtTime	1	1	1
api.AudioParam.value	1	1	1
api.AudioParamMap.@@iterator	1	1	1
api.AudioParamMap	1	1	1
api.AudioParamMap.entries	1	1	1
api.AudioParamMap.forEach	1	1	1
api.AudioParamMap.get	1	1	1
api.AudioParamMap.has	1	1	1
api.AudioParamMap.keys	1	1	1
api.AudioParamMap.size	1	1	1
api.AudioParamMap.values	1	1	1
api.AudioPlaybackStats	1	0	0
api.AudioPlaybackStats.averageLatency	1	0	0
api.AudioPlaybackStats.maximumLatency	1	0	0
api.AudioPlaybackStats.minimumLatency	1	0	0
api.AudioPlaybackStats.resetLatency	1	0	0
api.AudioPlaybackStats.toJSON	1	0	0
api.AudioPlaybackStats.totalDuration	1	0	0
api.AudioPlaybackStats.underrunDuration	1	0	0
api.AudioPlaybackStats.underrunEvents	1	0	0
api.AudioProcessingEvent.AudioProcessingEvent	1	0	1
api.AudioProcessingEvent	1	1	1
api.AudioProcessingEvent.inputBuffer	1	1	1
api.AudioProcessingEvent.outputBuffer	1	1	1
api.AudioProcessingEvent.playbackTime	1	1	1
api.AudioScheduledSourceNode	1	1	1
api.AudioScheduledSourceNode.ended_event	1	1	1
api.AudioScheduledSourceNode.start	1	1	1
api.AudioScheduledSourceNode.stop	1	1	1
api.AudioSession	0	1	1
api.AudioSession.state	0	1	0
api.AudioSession.statechange_event	0	1	0
api.AudioSession.type	0	1	1
api.AudioSinkInfo	1	0	0
api.AudioSinkInfo.type	1	0	0
api.AudioTrack	0	0	1
api.AudioTrack.enabled	0	0	1
api.AudioTrack.id	0	0	1
api.AudioTrack.kind	0	0	1
api.AudioTrack.label	0	0	1
api.AudioTrack.language	0	0	1
api.AudioTrack.sourceBuffer	0	0	1
api.AudioTrackList	0	0	1
api.AudioTrackList.addtrack_event	0	0	1
api.AudioTrackList.change_event	0	0	1
api.AudioTrackList.getTrackById	0	0	1
api.AudioTrackList.length	0	0	1
api.AudioTrackList.removetrack_event	0	0	1
api.AudioWorklet	1	1	1
api.AudioWorklet.port	0	1	0
api.AudioWorkletGlobalScope	1	1	1
api.AudioWorkletGlobalScope.currentFrame	1	1	1
api.AudioWorkletGlobalScope.currentTime	1	1	1
api.AudioWorkletGlobalScope.port	0	1	0
api.AudioWorkletGlobalScope.registerProcessor	1	1	1
api.AudioWorkletGlobalScope.sampleRate	1	1	1
api.AudioWorkletNode.AudioWorkletNode	1	1	1
api.AudioWorkletNode	1	1	1
api.AudioWorkletNode.parameters	1	1	1
api.AudioWorkletNode.port	1	1	1
api.AudioWorkletNode.processorerror_event	1	1	1
api.AudioWorkletProcessor.AudioWorkletProcessor	1	1	1
api.AudioWorkletProcessor	1	1	1
api.AudioWorkletProcessor.port	1	1	1
api.AuthenticatorAssertionResponse	1	1	1
api.AuthenticatorAssertionResponse.authenticatorData	1	1	1
api.AuthenticatorAssertionResponse.signature	1	1	1
api.AuthenticatorAssertionResponse.userHandle	1	1	1
api.AuthenticatorAttestationResponse	1	1	1
