规范	定义类	定义名	成员类	成员名	候选BCD路径	状态	Chrome	Firefox	Safari
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	const	VERTEX_ATTRIB_ARRAY_DIVISOR_ANGLE	api.ANGLE_instanced_arrays.VERTEX_ATTRIB_ARRAY_DIVISOR_ANGLE	BCD无同名路径			
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	operation	drawArraysInstancedANGLE	api.ANGLE_instanced_arrays.drawArraysInstancedANGLE	直接命中	1	1	1
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	operation	drawElementsInstancedANGLE	api.ANGLE_instanced_arrays.drawElementsInstancedANGLE	直接命中	1	1	1
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	operation	vertexAttribDivisorANGLE	api.ANGLE_instanced_arrays.vertexAttribDivisorANGLE	直接命中	1	1	1
CSP	dictionary	CSPViolationReportBody	field	documentURL		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	referrer		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	blockedURL		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	effectiveDirective		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	originalPolicy		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	sourceFile		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	sample		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	disposition		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	statusCode		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	lineNumber		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	columnNumber		非直接接口定义			
CSP	enum	SecurityPolicyViolationEventDisposition				非直接接口定义			
CSP	interface	SecurityPolicyViolationEvent	constructor	constructor	api.SecurityPolicyViolationEvent.SecurityPolicyViolationEvent	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	documentURI	api.SecurityPolicyViolationEvent.documentURI	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	referrer	api.SecurityPolicyViolationEvent.referrer	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	blockedURI	api.SecurityPolicyViolationEvent.blockedURI	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	effectiveDirective	api.SecurityPolicyViolationEvent.effectiveDirective	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	violatedDirective	api.SecurityPolicyViolationEvent.violatedDirective	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	originalPolicy	api.SecurityPolicyViolationEvent.originalPolicy	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	sourceFile	api.SecurityPolicyViolationEvent.sourceFile	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	sample	api.SecurityPolicyViolationEvent.sample	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	disposition	api.SecurityPolicyViolationEvent.disposition	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	statusCode	api.SecurityPolicyViolationEvent.statusCode	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	lineNumber	api.SecurityPolicyViolationEvent.lineNumber	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	columnNumber	api.SecurityPolicyViolationEvent.columnNumber	直接命中	1	1	1
CSP	dictionary	SecurityPolicyViolationEventInit	field	documentURI		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	referrer		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	blockedURI		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	violatedDirective		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	effectiveDirective		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	originalPolicy		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	sourceFile		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	sample		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	disposition		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	statusCode		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	lineNumber		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	columnNumber		非直接接口定义			
EXT_blend_minmax	interface	EXT_blend_minmax	const	MIN_EXT	api.EXT_blend_minmax.MIN_EXT	BCD无同名路径			
EXT_blend_minmax	interface	EXT_blend_minmax	const	MAX_EXT	api.EXT_blend_minmax.MAX_EXT	BCD无同名路径			
EXT_color_buffer_float	interface	EXT_color_buffer_float			api.EXT_color_buffer_float	直接命中	1	1	1
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	RGBA16F_EXT	api.EXT_color_buffer_half_float.RGBA16F_EXT	BCD无同名路径			
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	RGB16F_EXT	api.EXT_color_buffer_half_float.RGB16F_EXT	BCD无同名路径			
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	FRAMEBUFFER_ATTACHMENT_COMPONENT_TYPE_EXT	api.EXT_color_buffer_half_float.FRAMEBUFFER_ATTACHMENT_COMPONENT_TYPE_EXT	BCD无同名路径			
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	UNSIGNED_NORMALIZED_EXT	api.EXT_color_buffer_half_float.UNSIGNED_NORMALIZED_EXT	BCD无同名路径			
EXT_disjoint_timer_query	typedef	GLuint64EXT				非直接接口定义			
EXT_disjoint_timer_query	interface	WebGLTimerQueryEXT			api.WebGLTimerQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	QUERY_COUNTER_BITS_EXT	api.EXT_disjoint_timer_query.QUERY_COUNTER_BITS_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	CURRENT_QUERY_EXT	api.EXT_disjoint_timer_query.CURRENT_QUERY_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	QUERY_RESULT_EXT	api.EXT_disjoint_timer_query.QUERY_RESULT_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	QUERY_RESULT_AVAILABLE_EXT	api.EXT_disjoint_timer_query.QUERY_RESULT_AVAILABLE_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	TIME_ELAPSED_EXT	api.EXT_disjoint_timer_query.TIME_ELAPSED_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	TIMESTAMP_EXT	api.EXT_disjoint_timer_query.TIMESTAMP_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	GPU_DISJOINT_EXT	api.EXT_disjoint_timer_query.GPU_DISJOINT_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	createQueryEXT	api.EXT_disjoint_timer_query.createQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	deleteQueryEXT	api.EXT_disjoint_timer_query.deleteQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	isQueryEXT	api.EXT_disjoint_timer_query.isQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	beginQueryEXT	api.EXT_disjoint_timer_query.beginQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	endQueryEXT	api.EXT_disjoint_timer_query.endQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	queryCounterEXT	api.EXT_disjoint_timer_query.queryCounterEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	getQueryEXT	api.EXT_disjoint_timer_query.getQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	getQueryObjectEXT	api.EXT_disjoint_timer_query.getQueryObjectEXT	直接命中	1	0	0
EXT_disjoint_timer_query_webgl2	interface	EXT_disjoint_timer_query_webgl2	const	QUERY_COUNTER_BITS_EXT	api.EXT_disjoint_timer_query_webgl2.QUERY_COUNTER_BITS_EXT	BCD无同名路径			
EXT_disjoint_timer_query_webgl2	interface	EXT_disjoint_timer_query_webgl2	const	TIME_ELAPSED_EXT	api.EXT_disjoint_timer_query_webgl2.TIME_ELAPSED_EXT	BCD无同名路径			
EXT_disjoint_timer_query_webgl2	interface	EXT_disjoint_timer_query_webgl2	const	TIMESTAMP_EXT	api.EXT_disjoint_timer_query_webgl2.TIMESTAMP_EXT	BCD无同名路径			
EXT_disjoint_timer_query_webgl2	interface	EXT_disjoint_timer_query_webgl2	const	GPU_DISJOINT_EXT	api.EXT_disjoint_timer_query_webgl2.GPU_DISJOINT_EXT	BCD无同名路径			
EXT_disjoint_timer_query_webgl2	interface	EXT_disjoint_timer_query_webgl2	operation	queryCounterEXT	api.EXT_disjoint_timer_query_webgl2.queryCounterEXT	直接命中	1	0	0
EXT_float_blend	interface	EXT_float_blend			api.EXT_float_blend	直接命中	1	1	1
EXT_frag_depth	interface	EXT_frag_depth			api.EXT_frag_depth	直接命中	1	1	1
EXT_sRGB	interface	EXT_sRGB	const	SRGB_EXT	api.EXT_sRGB.SRGB_EXT	BCD无同名路径			
EXT_sRGB	interface	EXT_sRGB	const	SRGB_ALPHA_EXT	api.EXT_sRGB.SRGB_ALPHA_EXT	BCD无同名路径			
EXT_sRGB	interface	EXT_sRGB	const	SRGB8_ALPHA8_EXT	api.EXT_sRGB.SRGB8_ALPHA8_EXT	BCD无同名路径			
EXT_sRGB	interface	EXT_sRGB	const	FRAMEBUFFER_ATTACHMENT_COLOR_ENCODING_EXT	api.EXT_sRGB.FRAMEBUFFER_ATTACHMENT_COLOR_ENCODING_EXT	BCD无同名路径			
EXT_shader_texture_lod	interface	EXT_shader_texture_lod			api.EXT_shader_texture_lod	直接命中	1	1	1
EXT_texture_compression_bptc	interface	EXT_texture_compression_bptc	const	COMPRESSED_RGBA_BPTC_UNORM_EXT	api.EXT_texture_compression_bptc.COMPRESSED_RGBA_BPTC_UNORM_EXT	BCD无同名路径			
EXT_texture_compression_bptc	interface	EXT_texture_compression_bptc	const	COMPRESSED_SRGB_ALPHA_BPTC_UNORM_EXT	api.EXT_texture_compression_bptc.COMPRESSED_SRGB_ALPHA_BPTC_UNORM_EXT	BCD无同名路径			
EXT_texture_compression_bptc	interface	EXT_texture_compression_bptc	const	COMPRESSED_RGB_BPTC_SIGNED_FLOAT_EXT	api.EXT_texture_compression_bptc.COMPRESSED_RGB_BPTC_SIGNED_FLOAT_EXT	BCD无同名路径			
EXT_texture_compression_bptc	interface	EXT_texture_compression_bptc	const	COMPRESSED_RGB_BPTC_UNSIGNED_FLOAT_EXT	api.EXT_texture_compression_bptc.COMPRESSED_RGB_BPTC_UNSIGNED_FLOAT_EXT	BCD无同名路径			
EXT_texture_compression_rgtc	interface	EXT_texture_compression_rgtc	const	COMPRESSED_RED_RGTC1_EXT	api.EXT_texture_compression_rgtc.COMPRESSED_RED_RGTC1_EXT	BCD无同名路径			
EXT_texture_compression_rgtc	interface	EXT_texture_compression_rgtc	const	COMPRESSED_SIGNED_RED_RGTC1_EXT	api.EXT_texture_compression_rgtc.COMPRESSED_SIGNED_RED_RGTC1_EXT	BCD无同名路径			
EXT_texture_compression_rgtc	interface	EXT_texture_compression_rgtc	const	COMPRESSED_RED_GREEN_RGTC2_EXT	api.EXT_texture_compression_rgtc.COMPRESSED_RED_GREEN_RGTC2_EXT	BCD无同名路径			
EXT_texture_compression_rgtc	interface	EXT_texture_compression_rgtc	const	COMPRESSED_SIGNED_RED_GREEN_RGTC2_EXT	api.EXT_texture_compression_rgtc.COMPRESSED_SIGNED_RED_GREEN_RGTC2_EXT	BCD无同名路径			
EXT_texture_filter_anisotropic	interface	EXT_texture_filter_anisotropic	const	TEXTURE_MAX_ANISOTROPY_EXT	api.EXT_texture_filter_anisotropic.TEXTURE_MAX_ANISOTROPY_EXT	BCD无同名路径			
EXT_texture_filter_anisotropic	interface	EXT_texture_filter_anisotropic	const	MAX_TEXTURE_MAX_ANISOTROPY_EXT	api.EXT_texture_filter_anisotropic.MAX_TEXTURE_MAX_ANISOTROPY_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	R16_EXT	api.EXT_texture_norm16.R16_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	RG16_EXT	api.EXT_texture_norm16.RG16_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	RGB16_EXT	api.EXT_texture_norm16.RGB16_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	RGBA16_EXT	api.EXT_texture_norm16.RGBA16_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	R16_SNORM_EXT	api.EXT_texture_norm16.R16_SNORM_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	RG16_SNORM_EXT	api.EXT_texture_norm16.RG16_SNORM_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	RGB16_SNORM_EXT	api.EXT_texture_norm16.RGB16_SNORM_EXT	BCD无同名路径			
EXT_texture_norm16	interface	EXT_texture_norm16	const	RGBA16_SNORM_EXT	api.EXT_texture_norm16.RGBA16_SNORM_EXT	BCD无同名路径			
FileAPI	interface	Blob	constructor	constructor	api.Blob.Blob	直接命中	1	1	1
FileAPI	interface	Blob	attribute	size	api.Blob.size	直接命中	1	1	1
FileAPI	interface	Blob	attribute	type	api.Blob.type	直接命中	1	1	1
FileAPI	interface	Blob	operation	slice	api.Blob.slice	直接命中	1	1	1
FileAPI	interface	Blob	operation	stream	api.Blob.stream	直接命中	1	1	1
FileAPI	interface	Blob	operation	text	api.Blob.text	直接命中	1	1	1
FileAPI	interface	Blob	operation	arrayBuffer	api.Blob.arrayBuffer	直接命中	1	1	1
FileAPI	interface	Blob	operation	textStream	api.Blob.textStream	直接命中	1	0	0
FileAPI	interface	Blob	operation	bytes	api.Blob.bytes	直接命中	1	1	1
FileAPI	enum	EndingType				非直接接口定义			
FileAPI	dictionary	BlobPropertyBag	field	type		非直接接口定义			
FileAPI	dictionary	BlobPropertyBag	field	endings		非直接接口定义			
FileAPI	typedef	BlobPart				非直接接口定义			
FileAPI	interface	File	constructor	constructor	api.File.File	直接命中	1	1	1
FileAPI	interface	File	attribute	name	api.File.name	直接命中	1	1	1
FileAPI	interface	File	attribute	lastModified	api.File.lastModified	直接命中	1	1	1
FileAPI	dictionary	FilePropertyBag	field	lastModified		非直接接口定义			
FileAPI	interface	FileList	operation	item	api.FileList.item	直接命中	1	1	1
FileAPI	interface	FileList	attribute	length	api.FileList.length	直接命中	1	1	1
FileAPI	interface	FileReader	constructor	constructor	api.FileReader.FileReader	直接命中	1	1	1
FileAPI	interface	FileReader	operation	readAsArrayBuffer	api.FileReader.readAsArrayBuffer	直接命中	1	1	1
FileAPI	interface	FileReader	operation	readAsBinaryString	api.FileReader.readAsBinaryString	直接命中	1	1	1
FileAPI	interface	FileReader	operation	readAsText	api.FileReader.readAsText	直接命中	1	1	1
FileAPI	interface	FileReader	operation	readAsDataURL	api.FileReader.readAsDataURL	直接命中	1	1	1
FileAPI	interface	FileReader	operation	abort	api.FileReader.abort	直接命中	1	1	1
FileAPI	interface	FileReader	const	EMPTY	api.FileReader.EMPTY	BCD无同名路径			
FileAPI	interface	FileReader	const	LOADING	api.FileReader.LOADING	BCD无同名路径			
FileAPI	interface	FileReader	const	DONE	api.FileReader.DONE	BCD无同名路径			
FileAPI	interface	FileReader	attribute	readyState	api.FileReader.readyState	直接命中	1	1	1
FileAPI	interface	FileReader	attribute	result	api.FileReader.result	直接命中	1	1	1
FileAPI	interface	FileReader	attribute	error	api.FileReader.error	直接命中	1	1	1
FileAPI	interface	FileReader	attribute	onloadstart	api.FileReader.onloadstart	BCD无同名路径			
FileAPI	interface	FileReader	attribute	onprogress	api.FileReader.onprogress	BCD无同名路径			
FileAPI	interface	FileReader	attribute	onload	api.FileReader.onload	BCD无同名路径			
FileAPI	interface	FileReader	attribute	onabort	api.FileReader.onabort	BCD无同名路径			
FileAPI	interface	FileReader	attribute	onerror	api.FileReader.onerror	BCD无同名路径			
FileAPI	interface	FileReader	attribute	onloadend	api.FileReader.onloadend	BCD无同名路径			
FileAPI	interface	FileReaderSync	constructor	constructor	api.FileReaderSync.FileReaderSync	直接命中	1	1	1
FileAPI	interface	FileReaderSync	operation	readAsArrayBuffer	api.FileReaderSync.readAsArrayBuffer	直接命中	1	1	1
FileAPI	interface	FileReaderSync	operation	readAsBinaryString	api.FileReaderSync.readAsBinaryString	直接命中	1	1	1
FileAPI	interface	FileReaderSync	operation	readAsText	api.FileReaderSync.readAsText	直接命中	1	1	1
FileAPI	interface	FileReaderSync	operation	readAsDataURL	api.FileReaderSync.readAsDataURL	直接命中	1	1	1
FileAPI	interface	URL	operation	createObjectURL	api.URL.createObjectURL	BCD无同名路径			
FileAPI	interface	URL	operation	revokeObjectURL	api.URL.revokeObjectURL	BCD无同名路径			
IndexedDB	interface	IDBRequest	attribute	result	api.IDBRequest.result	直接命中	1	1	1
IndexedDB	interface	IDBRequest	attribute	error	api.IDBRequest.error	直接命中	1	1	1
IndexedDB	interface	IDBRequest	attribute	source	api.IDBRequest.source	直接命中	1	1	1
IndexedDB	interface	IDBRequest	attribute	transaction	api.IDBRequest.transaction	直接命中	1	1	1
IndexedDB	interface	IDBRequest	attribute	readyState	api.IDBRequest.readyState	直接命中	1	1	1
IndexedDB	interface	IDBRequest	attribute	onsuccess	api.IDBRequest.onsuccess	BCD无同名路径			
IndexedDB	interface	IDBRequest	attribute	onerror	api.IDBRequest.onerror	BCD无同名路径			
IndexedDB	enum	IDBRequestReadyState				非直接接口定义			
IndexedDB	interface	IDBOpenDBRequest	attribute	onblocked	api.IDBOpenDBRequest.onblocked	BCD无同名路径			
IndexedDB	interface	IDBOpenDBRequest	attribute	onupgradeneeded	api.IDBOpenDBRequest.onupgradeneeded	BCD无同名路径			
IndexedDB	interface	IDBVersionChangeEvent	constructor	constructor	api.IDBVersionChangeEvent.IDBVersionChangeEvent	直接命中	1	1	1
IndexedDB	interface	IDBVersionChangeEvent	attribute	oldVersion	api.IDBVersionChangeEvent.oldVersion	直接命中	1	1	1
IndexedDB	interface	IDBVersionChangeEvent	attribute	newVersion	api.IDBVersionChangeEvent.newVersion	直接命中	1	1	1
IndexedDB	dictionary	IDBVersionChangeEventInit	field	oldVersion		非直接接口定义			
IndexedDB	dictionary	IDBVersionChangeEventInit	field	newVersion		非直接接口定义			
IndexedDB	interface mixin	WindowOrWorkerGlobalScope	attribute	indexedDB		mixin待展开			
IndexedDB	interface	IDBFactory	operation	open	api.IDBFactory.open	直接命中	1	1	1
IndexedDB	interface	IDBFactory	operation	deleteDatabase	api.IDBFactory.deleteDatabase	直接命中	1	1	1
IndexedDB	interface	IDBFactory	operation	databases	api.IDBFactory.databases	直接命中	1	1	1
IndexedDB	interface	IDBFactory	operation	cmp	api.IDBFactory.cmp	直接命中	1	1	1
IndexedDB	dictionary	IDBDatabaseInfo	field	name		非直接接口定义			
IndexedDB	dictionary	IDBDatabaseInfo	field	version		非直接接口定义			
IndexedDB	interface	IDBDatabase	attribute	name	api.IDBDatabase.name	直接命中	1	1	1
IndexedDB	interface	IDBDatabase	attribute	version	api.IDBDatabase.version	直接命中	1	1	1
IndexedDB	interface	IDBDatabase	attribute	objectStoreNames	api.IDBDatabase.objectStoreNames	直接命中	1	1	1
IndexedDB	interface	IDBDatabase	operation	transaction	api.IDBDatabase.transaction	直接命中	1	1	1
IndexedDB	interface	IDBDatabase	operation	close	api.IDBDatabase.close	直接命中	1	1	1
IndexedDB	interface	IDBDatabase	operation	createObjectStore	api.IDBDatabase.createObjectStore	直接命中	1	1	1
IndexedDB	interface	IDBDatabase	operation	deleteObjectStore	api.IDBDatabase.deleteObjectStore	直接命中	1	1	1
IndexedDB	interface	IDBDatabase	attribute	onabort	api.IDBDatabase.onabort	BCD无同名路径			
IndexedDB	interface	IDBDatabase	attribute	onclose	api.IDBDatabase.onclose	BCD无同名路径			
IndexedDB	interface	IDBDatabase	attribute	onerror	api.IDBDatabase.onerror	BCD无同名路径			
IndexedDB	interface	IDBDatabase	attribute	onversionchange	api.IDBDatabase.onversionchange	BCD无同名路径			
IndexedDB	enum	IDBTransactionDurability				非直接接口定义			
IndexedDB	dictionary	IDBTransactionOptions	field	durability		非直接接口定义			
IndexedDB	dictionary	IDBObjectStoreParameters	field	keyPath		非直接接口定义			
IndexedDB	dictionary	IDBObjectStoreParameters	field	autoIncrement		非直接接口定义			
IndexedDB	interface	IDBObjectStore	attribute	name	api.IDBObjectStore.name	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	attribute	keyPath	api.IDBObjectStore.keyPath	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	attribute	indexNames	api.IDBObjectStore.indexNames	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	attribute	transaction	api.IDBObjectStore.transaction	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	attribute	autoIncrement	api.IDBObjectStore.autoIncrement	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	put	api.IDBObjectStore.put	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	add	api.IDBObjectStore.add	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	delete	api.IDBObjectStore.delete	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	clear	api.IDBObjectStore.clear	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	get	api.IDBObjectStore.get	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	getKey	api.IDBObjectStore.getKey	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	getAll	api.IDBObjectStore.getAll	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	getAllKeys	api.IDBObjectStore.getAllKeys	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	getAllRecords	api.IDBObjectStore.getAllRecords	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	count	api.IDBObjectStore.count	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	openCursor	api.IDBObjectStore.openCursor	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	openKeyCursor	api.IDBObjectStore.openKeyCursor	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	index	api.IDBObjectStore.index	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	createIndex	api.IDBObjectStore.createIndex	直接命中	1	1	1
IndexedDB	interface	IDBObjectStore	operation	deleteIndex	api.IDBObjectStore.deleteIndex	直接命中	1	1	1
IndexedDB	dictionary	IDBIndexParameters	field	unique		非直接接口定义			
IndexedDB	dictionary	IDBIndexParameters	field	multiEntry		非直接接口定义			
IndexedDB	dictionary	IDBGetAllOptions	field	query		非直接接口定义			
IndexedDB	dictionary	IDBGetAllOptions	field	count		非直接接口定义			
IndexedDB	dictionary	IDBGetAllOptions	field	direction		非直接接口定义			
IndexedDB	interface	IDBIndex	attribute	name	api.IDBIndex.name	直接命中	1	1	1
IndexedDB	interface	IDBIndex	attribute	objectStore	api.IDBIndex.objectStore	直接命中	1	1	1
IndexedDB	interface	IDBIndex	attribute	keyPath	api.IDBIndex.keyPath	直接命中	1	1	1
IndexedDB	interface	IDBIndex	attribute	multiEntry	api.IDBIndex.multiEntry	直接命中	1	1	1
IndexedDB	interface	IDBIndex	attribute	unique	api.IDBIndex.unique	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	get	api.IDBIndex.get	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	getKey	api.IDBIndex.getKey	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	getAll	api.IDBIndex.getAll	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	getAllKeys	api.IDBIndex.getAllKeys	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	getAllRecords	api.IDBIndex.getAllRecords	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	count	api.IDBIndex.count	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	openCursor	api.IDBIndex.openCursor	直接命中	1	1	1
IndexedDB	interface	IDBIndex	operation	openKeyCursor	api.IDBIndex.openKeyCursor	直接命中	1	1	1
IndexedDB	interface	IDBKeyRange	attribute	lower	api.IDBKeyRange.lower	直接命中	1	1	1
IndexedDB	interface	IDBKeyRange	attribute	upper	api.IDBKeyRange.upper	直接命中	1	1	1
IndexedDB	interface	IDBKeyRange	attribute	lowerOpen	api.IDBKeyRange.lowerOpen	直接命中	1	1	1
IndexedDB	interface	IDBKeyRange	attribute	upperOpen	api.IDBKeyRange.upperOpen	直接命中	1	1	1
IndexedDB	interface	IDBKeyRange	operation	only	api.IDBKeyRange.only	BCD无同名路径			
IndexedDB	interface	IDBKeyRange	operation	lowerBound	api.IDBKeyRange.lowerBound	BCD无同名路径			
IndexedDB	interface	IDBKeyRange	operation	upperBound	api.IDBKeyRange.upperBound	BCD无同名路径			
IndexedDB	interface	IDBKeyRange	operation	bound	api.IDBKeyRange.bound	BCD无同名路径			
IndexedDB	interface	IDBKeyRange	operation	includes	api.IDBKeyRange.includes	直接命中	1	1	1
IndexedDB	interface	IDBRecord	attribute	key	api.IDBRecord.key	直接命中	1	1	1
IndexedDB	interface	IDBRecord	attribute	primaryKey	api.IDBRecord.primaryKey	直接命中	1	1	1
IndexedDB	interface	IDBRecord	attribute	value	api.IDBRecord.value	直接命中	1	1	1
IndexedDB	interface	IDBCursor	attribute	source	api.IDBCursor.source	直接命中	1	1	1
IndexedDB	interface	IDBCursor	attribute	direction	api.IDBCursor.direction	直接命中	1	1	1
IndexedDB	interface	IDBCursor	attribute	key	api.IDBCursor.key	直接命中	1	1	1
IndexedDB	interface	IDBCursor	attribute	primaryKey	api.IDBCursor.primaryKey	直接命中	1	1	1
IndexedDB	interface	IDBCursor	attribute	request	api.IDBCursor.request	直接命中	1	1	1
IndexedDB	interface	IDBCursor	operation	advance	api.IDBCursor.advance	直接命中	1	1	1
IndexedDB	interface	IDBCursor	operation	continue	api.IDBCursor.continue	直接命中	1	1	1
IndexedDB	interface	IDBCursor	operation	continuePrimaryKey	api.IDBCursor.continuePrimaryKey	直接命中	1	1	1
IndexedDB	interface	IDBCursor	operation	update	api.IDBCursor.update	直接命中	1	1	1
IndexedDB	interface	IDBCursor	operation	delete	api.IDBCursor.delete	直接命中	1	1	1
IndexedDB	enum	IDBCursorDirection				非直接接口定义			
IndexedDB	interface	IDBCursorWithValue	attribute	value	api.IDBCursorWithValue.value	直接命中	1	1	1
IndexedDB	interface	IDBTransaction	attribute	objectStoreNames	api.IDBTransaction.objectStoreNames	直接命中	1	1	1
IndexedDB	interface	IDBTransaction	attribute	mode	api.IDBTransaction.mode	直接命中	1	1	1
IndexedDB	interface	IDBTransaction	attribute	durability	api.IDBTransaction.durability	直接命中	1	1	1
IndexedDB	interface	IDBTransaction	attribute	db	api.IDBTransaction.db	直接命中	1	1	1
IndexedDB	interface	IDBTransaction	attribute	error	api.IDBTransaction.error	直接命中	1	1	1
IndexedDB	interface	IDBTransaction	operation	objectStore	api.IDBTransaction.objectStore	直接命中	1	1	1
